review_key,nobel_api_id,laureate_name,candidate_title,candidate_role,classification,technicality_score,classification_confidence,relationship_confidence,relationship_status,warning_flags,reviewer_decision,reviewer_reason,reviewer
292::cab188ffcbb9ba86337ff7c087d83255cc74b47ccbc28fc7af074301fb45ca96::author,292,Ahmed Zewail,"Advances in laser spectroscopy I, August 23-24, 1977, San Diego, California",author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::644e5bea11ccaa0d7a380da758d8e55783551b110045b273f112cf81d9d30ce7::author,292,Ahmed Zewail,Age of Science,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::15ceed2ecceca7ebb3d070baffa0e4349d2ba4e09f09c49bf6ebe2b6d7872c38::author,292,Ahmed Zewail,Beyond science,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::90ed23f8e59e3a19ee4a9ad528e937595a3d58b454ae5da66ad5eef02aaded39::unknown,292,Ahmed Zewail,Encyclopedia of Analytical Chemistry,unknown,unknown,0.55,0.7,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
292::8973dac8dd7bdd43f4a215e52fcf02a64e60bcbaf5aa92cc7cd4950b77bacaad::author,292,Ahmed Zewail,Femtochemistry,author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::191bd4e09441b647eef53d0a7881e00ca71ff3cd47c87458c90d9a552283f650::author,292,Ahmed Zewail,Femtochemistry,author,unknown,0.67,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::b41101b4760f209696298963bb5558107a80e4e23ff3d06b159c66ca758b76e9::author,292,Ahmed Zewail,Femtochemistry Vol. 1,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::29423f7a91807e43d1798d01c780339d5baa1d3b66925eb9bcdea123b1f8c88b::author,292,Ahmed Zewail,Femtochemistry Vol. 2,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::177c7608b878c3397def602d4ebfcc0ccbff7195c2d89ad839f18821b03a31be::author,292,Ahmed Zewail,Laser and molecular beam studies of chemical reaction dynamics,author,unknown,0.67,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::1cc0d52fb4e25bea6f0c579076b3f979dbbc863ae4bfac51dfc8aaceb45147a5::author,292,Ahmed Zewail,Parcours d'un prix Nobel,author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::16df99bba4e15c7027e935a5e9b3a557ed304593bb668afcac8ba7a3e40938cb::unknown,292,Ahmed Zewail,Personal and Scientific Reminiscences: Tributes to Ahmed Zewail,unknown,unknown,0.1,0.7,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
292::baaddb3cc701a33fde3979fba6fcb26373b4887c17d708b118d64366cfb35004::author,292,Ahmed Zewail,Photochemistry and photobiology,author,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::9bfe1a99344f28f1ece7503453d8e3859e407fdf0d57fcb9911992fe7bc04cd1::author,292,Ahmed Zewail,Physical biology,author,unknown,0.79,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::4c5a6cc1545875114db114f683704c47e79214e8f990491e565f6d6f5babce0a::author,292,Ahmed Zewail,Reflections on world affairs,author,unknown,0.2,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::ecf876304bfc5016fc6243dcd3c3c98a1c83cb1bf3298e9c96fb729b354db0db::author,292,Ahmed Zewail,Reise Durch Die Zeit,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::84a8000761acb6e3a2e64d97dad07ed588c36b51d24f2371d89b87f9129b98bd::author,292,Ahmed Zewail,"Reminiscences of Ahmed H. Zewail : Photons, Electrons, and What Else? : A Portrait from Close Range",author,unknown,0.1,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::7c697474981b3f160de010894aed0dfeeab9f4958aca0c3d5ecd9a6269f1ad3a::unknown,292,Ahmed Zewail,"Reminiscences of Ahmed H. Zewail: Photons, Electrons and What Else? A Portrait from Close Range. Remembrances of his Group Members and Family",unknown,unknown,0.1,0.7,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
292::a5448e669e7f8c43f20c753ccb91b1ce5ed6b2675d8b1d5927f1e3731a41cb1d::author,292,Ahmed Zewail,The Chemical bond,author,unknown,0.79,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::e878948279b2f2ac7e0ad39691799acd523fdf81337300cedf1f48093ec8f6f8::author,292,Ahmed Zewail,Time's mysteries and miracles,author,unknown,0.67,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::da43aa7eb772b40f9cc5592101f0ae3ad2982e3fc3031dfed23b1831095f421e::author,292,Ahmed Zewail,Ultrafast Phenomena IX,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::4a0847ba0de5f14fc09ab81eacf361ddcd657a771fe85a18fc746a7dad030879::author,292,Ahmed Zewail,Viaje a Traves del Tiempo Senderos Hacia El Premio Nobel Ciencia y Tecnologia,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::0cc43ea742188f77769f76f798bf80dcdd8ead14d9a6888cd27f63f2809eb53e::author,292,Ahmed Zewail,Voyage Through Time,author,unknown,0.1,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::4a05e9ab1b8fcfd3352eaea1099a3f42a128f11c6c31fd2754086700ca77eb36::author,292,Ahmed Zewail,Voyage through time,author,unknown,0.1,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::d5b0a37bccf2b929ee5f8c24714dded2c6dd9bbd1cf4a892656d69522a1b5534::unknown,292,Ahmed Zewail,[[Age of Science]],unknown,unknown,0.1,0.7,0.0,rejected,low_relationship_confidence|low_classification_confidence,,,
292::d4176969228a925158dc79f2b66c36a805a16b1e77529f0048f3b08a41fa97fb::author,292,Ahmed Zewail,ʻAṣr al-ʻilm,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
292::a347279ef04c41d1f175e1d6a320f0bcb623d0ed12346505516550c97e071e08::author,292,Ahmed Zewail,زويل.. المدينة,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
1012::2899d73bfac9b7baa6b45ac92332f45ca29dff8ff560242fba0794fbfce97a8f::author,1012,Alain Aspect,Aspect's experiment,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
11::e84812264e596d0f8756c4e49511f8a724ad4c8b1240f4b2dd172f234c68d6e9::author,11,Albert A. Michelson,Interference Phenomena in a new form of Refractometer,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
11::03e542f929a1a41fc4613452c807e6c5c15e7709f803a096d5c4cc56c7a7fb33::author,11,Albert A. Michelson,Light waves and their uses,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
11::f20413f0f1adb1e49f5917450ec5e2ad0d0a2d1ea6e087e28c7d28f09cbc04ff::author,11,Albert A. Michelson,Report of the Committee on Oceanography of the National Academy of Sciences,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::eaf85d09c370d79524e7b32fa0e1c84fc52ab6fbe7173d711c9a8104d309041a::author,26,Albert Einstein,Albert Einstein: philosopher-scientist,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::f5ef1205c1b32da2c85eba580c3ae98882c6af47bea784ca02d7c99083059026::author,26,Albert Einstein,Annus Mirabilis papers,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::06ff7a7ae7a88d440dc337d7219c96437f93684c56f84010e25f5350c1559845::author,26,Albert Einstein,Einstein's Collected Works,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::e29cc5c04dbed3a8352f2e675d911d5dd5d11b4aa7931bc1249388069ddfb6c1::author,26,Albert Einstein,Ether and the Theory of Relativity,author,unknown,0.57,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::6a44ea7e4bcfa256785e00713da7f3cea47c13a755d3c3978a8e050f342c8ac8::author,26,Albert Einstein,Geometry and Experience,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::aa6bd7081e93da062827a48ac5a9938c2290538bddb4ed5965703868cde32bc2::author,26,Albert Einstein,Great spirits have always encountered violent opposition from mediocre minds.,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::cbde4a70680b909af3886302e1257ebd35064ef797fde1dd0182f765bcd6a188::author,26,Albert Einstein,On a Heuristic Point of View about the Creation and Conversion of Light,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::1bd28f6c9f173542830e091eb887e625eb1086e052f083b9f4c284847c83377e::author,26,Albert Einstein,Q117157203,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::e5cec9b3e8c1b7b748bd64e412910e3a70edf4937d8f3e1f6918fe932c4e29e8::author,26,Albert Einstein,Q117167698,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::d918f534575fdf710e78ba813cafaf5a29dd2bcbaf7adcb0021b31d31f65ddf4::author,26,Albert Einstein,Q121974606,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::9af8db7d53fab75bec6be0be821603a0044414b82675461e451d251b65ee98c9::author,26,Albert Einstein,Q122071132,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::80cad933322a2d5edbdb850bae3802bcc145328a8a7046b30509b1323300b5e1::author,26,Albert Einstein,Q131566395,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::c483a28d76dadd62da3e5d8b66ec6fbfd6392405fcda9b556725b97d3b26be00::author,26,Albert Einstein,Q131931305,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::aad93ead1e3f9dc6f15688888835d0abfb277d51a6ee83fdf4558c27c72aad01::author,26,Albert Einstein,Q134726609,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::dd6261022965117c7844ca9fd0d81e8e6c0f49314c2828d1423f082e540c6445::author,26,Albert Einstein,Q138561922,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::5923cba6b61219efd35ede80de1be5b682467e685461e733ae149e12d721b99b::author,26,Albert Einstein,Q21501058,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::ecb1be95c9dd60ecbe85f908d70b230055604d2858bf93f4b2a45a82639b8e7f::author,26,Albert Einstein,Q60985311,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::b278ae93bb4f4c2058e65457ce2b9384fb3461173b7ab7f4947f728a34d4615e::author,26,Albert Einstein,Relativity: The Special and the General Theory,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::e028c02288f06526cb7337efcac2089949346634105efac32b1c4c0ad7577efd::author,26,Albert Einstein,The Meaning of Relativity (1922),author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::4aadadaa9f1bc4583d57a97803c73fbcd79d5b318eae40d68f38137eeb61008c::author,26,Albert Einstein,The Oxford Book of Modern Science Writing,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::16a3282b347fd03c41ff9c1dccf1fe804126764a110aa30fdccf2b358dcfdac0::author,26,Albert Einstein,The principle of relativity: a collection of original memoirs on the special and general theory of relativity,author,unknown,0.1,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::86a260586443ec03d7840ac68082a44981e14fa36584dc2d29eaca1d358115b1::author,26,Albert Einstein,Why Socialism?,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
26::2e08c11754358d7900a2b3b51cfa1f3cd03dcafbffb21add855f946f352cbd18::author,26,Albert Einstein,Why War?,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
332::eac5e62e9e140a3381b44d6e841c20e70e1f8fb7b48faff5e85e0eb984b421d1::author,332,Albert Szent-Györgyi,Bioenergetics,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
332::295590e42cd99f3b5fc21f4decc239cdd8f0e09b35944c5c7fdf513a3714edf3::author,332,Albert Szent-Györgyi,Chemistry of muscular contraction,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
304::d5ea74e55473f3fd09ecec4cc13910d3b35a33cdffe9c3801e98932458b4fe4e::author,304,Albrecht Kossel,Gewebelehre mit besonderer Berücksichtigung des menschlichen Körpers.,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::0ce0e1936ffdd88686ac548b51232883f2f23ac6b2bcd1a6006e97bc702620d0::editor,83,Aleksandr M. Prokhorov,Great Soviet Encyclopedia,editor,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::b3a1fc139cc3f100b2de9cf6abea3ffa6645e178d79d9921cc31c2101ea81c35::editor,83,Aleksandr M. Prokhorov,"Great Soviet Encyclopedia (1969–1978), volume 1",editor,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::5b8914226f541fa0dd02fe2d758925b4336b9e5e2c855ddb112b9a59df16365c::editor,83,Aleksandr M. Prokhorov,"Great Soviet Encyclopedia (1969–1978), volume 2",editor,unknown,0.55,0.7,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::7ef2abca8039739e37c38df229505752932ce9e9c145888c1130f4550df59294::editor,83,Aleksandr M. Prokhorov,Great encyclopedic dictionary,editor,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::2dc33f348dbf51e62e529b08d397894920b89f4ac26d4ed58a693eb0d759d832::author,83,Aleksandr M. Prokhorov,Q19632103,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::8947bed91e14e39c113bde36ffb9af37e8f01282083a1d7e08eadbc1344ef2f7::author,83,Aleksandr M. Prokhorov,Q6677799,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
83::ee3fa05cb522463370870df9b5a12e07d1b2275c3e2de591a29cb9e2b5083ca4::editor,83,Aleksandr M. Prokhorov,Soviet Encyclopedic Dictionary,editor,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
306::69e0ec1a089a06b3428199d05cc7fb672b5c8fcb92b748790957c530f831ec72::author,306,Alexis Carrel,Q118346890,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
306::103a346fb0942f2ecfb8aa0d9ea8212e29013c1f03b94827ad31258f615d8184::author,306,Alexis Carrel,Q121933592,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
306::7e1f81c347e10c0811553b3604306324c78009455333f4777dc7292508df0857::author,306,Alexis Carrel,Q137771850,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
306::faa6a65f02bd8cbf19a7bd810870790c1f6fd2455878f98c4f2a3e0092521c88::author,306,Alexis Carrel,Q4010933,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
300::2cdd41f85d8b4afc0fa7c350673b8874d24488802f3d3e578f1e6895aa4e8656::author,300,Alphonse Laveran,Paludism,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
300::8aa2f13ff22eae9116749a133ee7003742fd51aa754f651463cb9abe20926a1f::author,300,Alphonse Laveran,Q134585563,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
300::fa002283c9b6b02d718551094f5e48364675f7763f385d358b4e996c4addbba5::author,300,Alphonse Laveran,Q134585624,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
990::55b7449e2600f4ebcb285d40325b0ad36a49c3d717b778ff2da6ab06987a1b79::author,990,Andrea Ghez,Andrea Ghez: The hunt for a supermassive black hole,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
412::3e106ced5266ded6a76552e38a136f3632cd8871d132173665a56e2fa04d00a7::author,412,Andrew V. Schally,Q136974397,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
412::fc7cf673052eb25c3a0fb5d5c96f10cc992e0ec673954bdf2448563ad4b6b69a::author,412,Andrew V. Schally,Q136974427,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
412::01619dec474626e29a76a1189769f8d9e91e8f2ef1527d6e81e54bba0b8e1ebe::author,412,Andrew V. Schally,Q136974428,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
802::038580426ff5d4645f925f1870bdf2f0bfe5380ae8310da861dc0842f253d807::author,802,Andrew Z. Fire,Q136783663,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
802::54d2ce63bcb59948bfa3cea451ada21a9694810cbb097e6f3c4011924c87044b::author,802,Andrew Z. Fire,Q136783664,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
802::c6df70a9976a1a3742f33bda69b4d01fe2a3caf5e2335e6afdb15f36b5b7971c::author,802,Andrew Z. Fire,Q136783666,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
802::96270aadf15f699e5d276222f072750f853483584ca02990e957e2ac9c72bb05::author,802,Andrew Z. Fire,Q136783667,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
802::ea7b027d6a256b70d6d7ef7cef711e9c53dffbffc548f7c5af1dcb4834ac061a::author,802,Andrew Z. Fire,Q136783670,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
802::46133072afdf13655d9bc249349254bb34ccd8fe2cdb437bd8484cdff732deb3::author,802,Andrew Z. Fire,Q136786856,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
360::ef4004b0a46ac560e0bbf3654e6a517f0f3dc20d434d6169382e7872a2d71ace::author,360,André F. Cournand,Cardiac catheterization in congenital heart disease,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
381::4853b144df4ba96710951b803e07091f1212338a0927301bda50cf6b799df085::author,381,André Lwoff,Biological order,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
381::619aea41bbc2c4c4057c5e5fbb363747e700474981845d513e43cea6f4274aad::author,381,André Lwoff,Q133031944,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
381::3fe2253f83e6ff7a085c191de589d44725b0981fd0ddee77f7b8d70afbc481e9::author,381,André Lwoff,Recherches biochimiques sur la nutrition des protozoaires,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
1014::b49d7a734eeb854701a6fa191a0a2770a5623a25cd4d73e02c8b63229f2d1e8e::author,1014,Anton Zeilinger,Dance of the Photons,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
311::6ee9aedaa06a965c08ca786075505ed36a31faa5a187d7999997988295e942d5::author,311,Archibald V. Hill,Chemical wave transmission in nerve,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
33::bf2ef1407b1b33f98414091eac61619b36311f45836103a3f96a669f4a16f087::author,33,Arthur H. Compton,Atomic Quest,author,unknown,0.35,0.45,0.65,needs_review,low_relationship_confidence|low_classification_confidence,,,
